county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,1.1,11.1,126.04,Medium,2022-05-19
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,96.14,Low,2022-05-19
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,225.41,Medium,2022-05-19
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,0.0,6.3,200.95,Medium,2022-05-19
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,162.99,Low,2022-05-19
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,248.23,Medium,2022-05-19
Arlington County,51013,Virginia,236842,69,"Fairfax, VA - Arlington, VA",1995976,2.8,5.0,540.44,Medium,2022-05-19
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,113.68,Low,2022-05-26
Albemarle County,51003,Virginia,109330,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,328.36,High,2022-05-26
Alleghany County,51005,Virginia,14860,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.2,4.1,134.59,Low,2022-05-26
Appomattox County,51011,Virginia,15911,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,578.22,High,2022-05-26
Augusta County,51015,Virginia,75558,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,398.37,Medium,2022-05-26
Bedford County,51019,Virginia,78997,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,224.06,High,2022-05-26
Botetourt County,51023,Virginia,33419,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,230.41,High,2022-05-26
Buchanan County,51027,Virginia,21004,39,"Mercer, WV - Tazewell, VA",144261,2.5,7.6,119.02,Low,2022-05-26
Campbell County,51031,Virginia,54885,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,49.19,Medium,2022-05-26
Charles City County,51036,Virginia,6963,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,57.45,Medium,2022-05-26
Dickenson County,51051,Virginia,14318,55,"Wise, VA - Lee, VA",79105,13.5,6.3,48.89,Medium,2022-05-26
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,101.59,Medium,2022-05-26
Giles County,51071,Virginia,16720,70,"Montgomery, VA - Pulaski, VA",196215,3.7,7.1,179.43,Low,2022-05-26
Greene County,51079,Virginia,19819,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,262.37,High,2022-05-26
Isle of Wight County,51093,Virginia,37109,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,218.28,Medium,2022-05-26
King George County,51099,Virginia,26836,135,"Stafford, VA - Spotsylvania, VA",375694,4.1,6.7,298.11,Medium,2022-05-26
Loudoun County,51107,Virginia,413538,69,"Fairfax, VA - Arlington, VA",1995976,3.0,7.7,382.07,Medium,2022-05-26
Lunenburg County,51111,Virginia,12196,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,5.3,14.3,213.18,High,2022-05-26
Powhatan County,51145,Virginia,29652,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,107.92,Medium,2022-05-26
Pulaski County,51155,Virginia,34027,70,"Montgomery, VA - Pulaski, VA",196215,3.7,7.1,161.64,Low,2022-05-26
Richmond County,51159,Virginia,9023,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,77.58,Medium,2022-05-26
Rockingham County,51165,Virginia,81948,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.1,6.0,81.76,Low,2022-05-26
Scott County,51169,Virginia,21566,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.9,8.2,78.83,Low,2022-05-26
Southampton County,51175,Virginia,17631,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,85.08,Low,2022-05-26
Stafford County,51179,Virginia,152882,135,"Stafford, VA - Spotsylvania, VA",375694,4.1,6.7,325.09,Medium,2022-05-26
Warren County,51187,Virginia,40164,25,"Berkeley, WV - Frederick, VA",433166,3.3,5.5,219.10,Medium,2022-05-26
Westmoreland County,51193,Virginia,18015,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,133.22,Medium,2022-05-26
Wythe County,51197,Virginia,28684,70,"Montgomery, VA - Pulaski, VA",196215,3.7,7.1,163.85,Low,2022-05-26
Chesapeake City,51550,Virginia,244835,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,202.18,Medium,2022-05-26
Danville City,51590,Virginia,40044,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.6,2.5,227.25,Medium,2022-05-26
Fredericksburg City,51630,Virginia,29036,135,"Stafford, VA - Spotsylvania, VA",375694,4.1,6.7,241.08,Medium,2022-05-26
Lexington City,51678,Virginia,7446,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,268.60,Medium,2022-05-26
Martinsville City,51690,Virginia,12554,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.6,2.5,167.28,Low,2022-05-26
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,2.5,7.6,111.46,Low,2022-05-26
Accomack County,51001,Virginia,32316,137,"Accomack, VA - Northampton, VA",44026,2.2,0.0,136.16,Low,2022-05-26
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,367.39,High,2022-05-26
Carroll County,51035,Virginia,29791,73,"Carroll, VA - Grayson, VA",62825,2.4,4.8,221.54,Medium,2022-05-26
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,227.27,High,2022-05-26
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,308.96,High,2022-05-26
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,3.3,5.5,177.85,Low,2022-05-26
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,1.2,8.7,175.17,Low,2022-05-26
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,282.36,High,2022-05-26
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,253.38,High,2022-05-26
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,248.39,High,2022-05-26
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,319.63,Medium,2022-05-26
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,363.29,Medium,2022-05-26
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,216.92,High,2022-05-26
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,5.3,14.3,205.97,High,2022-05-26
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,113.40,Medium,2022-05-26
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,229.53,High,2022-05-26
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,2.2,0.0,239.11,Medium,2022-05-26
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,115.75,Medium,2022-05-26
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,232.11,High,2022-05-26
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.6,2.5,266.92,Medium,2022-05-26
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,162.27,Medium,2022-05-26
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,176.39,Medium,2022-05-26
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,3.3,5.5,107.76,Low,2022-05-26
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,13.5,6.3,219.35,High,2022-05-26
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,185.24,Low,2022-05-26
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,3.0,7.7,608.88,Medium,2022-05-26
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,87.86,Low,2022-05-26
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,2.4,4.8,362.38,Medium,2022-05-26
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,153.34,Medium,2022-05-26
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,226.53,Medium,2022-05-26
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,13.5,6.3,301.43,High,2022-05-26
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,211.88,Medium,2022-05-26
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,274.26,High,2022-05-26
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,227.95,High,2022-05-26
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,190.19,Medium,2022-05-26
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,196.17,Medium,2022-05-26
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,4.1,6.7,299.43,Medium,2022-05-26
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,151.03,Medium,2022-05-26
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,118.69,Medium,2022-05-26
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,182.07,Low,2022-05-26
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,5.3,14.3,327.33,High,2022-05-26
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,214.35,High,2022-05-26
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,297.44,High,2022-05-26
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,122.46,Medium,2022-05-26
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,13.5,6.3,64.04,Medium,2022-05-26
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,194.20,Medium,2022-05-26
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,120.65,Medium,2022-05-26
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,214.33,High,2022-05-26
Pittsylvania County,51143,Virginia,60354,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.6,2.5,220.37,Medium,2022-05-26
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,1.2,8.7,237.27,Medium,2022-05-26
Russell County,51167,Virginia,26586,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.9,8.2,135.41,Low,2022-05-26
Smyth County,51173,Virginia,30104,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.9,8.2,139.52,Low,2022-05-26
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,4.1,6.7,256.95,Medium,2022-05-26
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,1.2,8.7,155.71,Low,2022-05-26
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,1.2,8.7,17.92,Low,2022-05-26
Washington County,51191,Virginia,53740,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.9,8.2,139.56,Low,2022-05-26
Alexandria City,51510,Virginia,159428,69,"Fairfax, VA - Arlington, VA",1995976,3.0,7.7,512.46,Medium,2022-05-26
Bristol City,51520,Virginia,16762,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.9,8.2,125.28,Low,2022-05-26
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,339.67,High,2022-05-26
Fairfax City,51600,Virginia,24019,69,"Fairfax, VA - Arlington, VA",1995976,3.0,7.7,145.72,Low,2022-05-26
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,227.49,Medium,2022-05-26
Manassas City,51683,Virginia,41085,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.9,3.8,267.74,Medium,2022-05-26
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,1.2,8.7,127.61,Low,2022-05-26
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,3.7,7.1,367.14,Medium,2022-05-26
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,177.86,Medium,2022-05-26
Suffolk City,51800,Virginia,92108,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,182.39,Low,2022-05-26
Arlington County,51013,Virginia,236842,69,"Fairfax, VA - Arlington, VA",1995976,3.0,7.7,591.96,Medium,2022-05-26
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.2,4.1,289.37,Medium,2022-05-26
Brunswick County,51025,Virginia,16231,130,"Brunswick, VA - Greensville, VA",32913,0.7,6.1,154.03,Low,2022-05-26
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,136.43,Medium,2022-05-26
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,150.18,Medium,2022-05-26
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,3.0,7.7,355.81,Medium,2022-05-26
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.9,3.8,146.02,Low,2022-05-26
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,3.3,5.5,235.13,Medium,2022-05-26
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,2.4,4.8,154.34,Low,2022-05-26
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,0.7,6.1,202.89,Medium,2022-05-26
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.6,2.5,251.20,Medium,2022-05-26
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,170.82,Medium,2022-05-26
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,124.52,Low,2022-05-26
Montgomery County,51121,Virginia,98535,70,"Montgomery, VA - Pulaski, VA",196215,3.7,7.1,300.40,Medium,2022-05-26
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.7,10.5,131.30,Medium,2022-05-26
Page County,51139,Virginia,23902,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.1,6.0,121.33,Low,2022-05-26
Prince William County,51153,Virginia,470335,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.9,3.8,297.87,Medium,2022-05-26
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,3.4,10.8,230.40,High,2022-05-26
Rockbridge County,51163,Virginia,22573,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,101.89,Low,2022-05-26
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,2.5,7.6,135.48,Low,2022-05-26
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,2.5,4.1,216.75,Medium,2022-05-26
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,3.7,11.7,399.86,High,2022-05-26
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.2,4.1,541.71,Medium,2022-05-26
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,0.7,6.1,224.47,Medium,2022-05-26
Harrisonburg City,51660,Virginia,53016,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.1,6.0,190.51,Low,2022-05-26
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,1.2,8.7,186.43,Low,2022-05-26
Manassas Park City,51685,Virginia,17478,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.9,3.8,177.37,Low,2022-05-26
Norfolk City,51710,Virginia,242742,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,170.14,Low,2022-05-26
Portsmouth City,51740,Virginia,94398,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,175.85,Low,2022-05-26
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,116.32,Low,2022-05-26
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.2,5.7,223.12,Medium,2022-05-26
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,4.6,9.9,220.95,Medium,2022-05-26
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,3.3,5.5,135.34,Low,2022-05-26
Alleghany County,51005,Virginia,14860,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,2.4,5.5,47.11,Low,2022-06-02
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,3.7,9.5,218.88,Medium,2022-06-02
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,236.07,High,2022-06-02
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,3.1,3.9,277.08,Medium,2022-06-02
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,0.0,5.1,351.67,Medium,2022-06-02
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,3.1,3.9,223.74,Medium,2022-06-02
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,3.7,9.5,198.37,Low,2022-06-02
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,2.0,17.5,362.38,High,2022-06-02
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.5,5.4,0.00,Low,2022-06-02
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,3.6,6.0,437.85,Medium,2022-06-02
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,3.0,11.1,169.81,Medium,2022-06-02
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,0.0,5.1,171.20,Low,2022-06-02
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,4.1,6.9,153.61,Low,2022-06-02
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,3.2,7.8,94.98,Low,2022-06-02
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,219.28,High,2022-06-02
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.6,2.5,170.38,Low,2022-06-02
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,3.2,7.8,199.72,Low,2022-06-02
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,74.41,Medium,2022-06-02
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,4.3,9.1,102.48,Low,2022-06-02
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,151.57,Medium,2022-06-02
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,198.45,Medium,2022-06-02
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,7.2,10.4,235.39,High,2022-06-02
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,141.47,Medium,2022-06-02
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,3.1,3.9,291.42,Medium,2022-06-02
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,3.0,11.1,0.00,Medium,2022-06-02
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,168.40,Medium,2022-06-02
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,3.7,9.5,148.10,Low,2022-06-02
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,3.2,7.8,432.71,Medium,2022-06-02
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,1.5,8.0,154.15,Low,2022-06-02
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,4.1,6.9,383.06,Medium,2022-06-02
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,267.86,High,2022-06-02
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.3,10.5,218.86,High,2022-06-02
